numParks,code,meanHouseholdIncome,totalPopulation,populationDensity,race.white,race.black,race.americanIndianOrAlaskanNative,race.asian,race.nativeHawaiianOrPacificIslander,race.otherRace,race.twoOrMore
7,85395,106590,30491,1806.537041,23223,1883,877,1909,68,1370,1161
1,85396,101277,20905,147.2856953,17753,760,104,306,24,1335,623
10,85501,59504,12805,23.76166049,11304,157,284,23,0,414,623
0,85530,41005,1771,4.952924476,35,0,1657,0,0,0,79
0,85531,70741,323,149.2215569,323,0,0,0,0,0,0
4,85533,67167,3361,2.541003139,3188,102,26,6,0,30,9
0,85534,71786,2753,5.852475995,2597,16,32,6,0,63,39
0,85535,NA,0,4.81761872,0,0,0,0,0,0,0
0,85536,63107,440,2.821206066,428,0,0,0,0,0,12
0,85539,56211,4424,80.55892208,3723,12,136,112,22,251,168
7,85540,84124,3380,28.71186237,2902,91,311,40,0,33,3
5,85541,62988,21661,27.9412948,19801,178,624,272,0,418,368
4,85542,48731,3700,14.57736586,31,0,3253,0,0,0,416
1,85543,59387,3552,6.403994538,3255,11,58,3,11,88,126
0,85544,62034,2763,17.78466623,2660,0,65,0,0,32,6
0,85545,28797,540,1.492927162,506,8,0,0,0,3,23
8,85546,58951,20610,29.16731518,18584,607,335,190,28,496,370
0,85550,48249,5239,8.454278942,94,0,4786,28,0,0,331
0,85551,75495,447,7.555547264,433,5,0,0,0,9,0
4,85552,68698,6671,259.6458994,6348,51,94,34,7,32,105
0,85553,43602,1791,4.94281678,1770,20,0,0,0,1,0
0,85554,41187,581,1.023638416,543,0,8,0,0,30,0
0,85601,51800,723,5.793973603,697,0,26,0,0,0,0
4,85602,55334,9051,12.64689454,8312,73,143,88,144,59,232
2,85603,46533,6887,31.77570924,6116,59,150,0,0,427,135
0,85605,38415,540,1.825185729,505,0,9,0,0,0,26
0,85606,52176,1067,9.237370782,1016,0,0,0,0,38,13
5,85607,49726,15419,22.66556642,13850,183,156,0,0,868,362
0,85608,NA,4671,1243.928764,3631,750,206,3,22,8,51
0,85609,152983,340,3.010128468,340,0,0,0,0,0,0
0,85610,53714,1071,2.995862429,998,8,24,0,0,5,36
0,85611,88972,1032,3.132903276,999,0,26,7,0,0,0
0,85613,82573,5309,119.6999487,3731,850,151,195,40,49,293
0,85614,67347,23777,161.3366738,22857,228,46,212,0,238,196
0,85615,84115,9391,45.14606645,9035,73,25,23,0,34,201
0,85616,54116,5341,41.59069851,4353,194,67,102,3,149,473
0,85617,47748,1128,5.788810415,1078,4,19,6,0,5,16
0,85618,42565,1787,15.35530849,1514,0,26,0,0,122,125
0,85619,36681,41,0.246179297,41,0,0,0,0,0,0
0,85620,43011,751,839.8876404,532,0,0,5,0,105,109
10,85621,51065,22074,81.67762598,18719,284,197,341,0,2143,390
0,85622,83437,6142,129.6398778,6032,4,0,48,0,8,50
0,85623,89917,5190,11.74502934,4803,0,62,5,0,153,167
0,85624,56509,1289,3.64298725,1110,10,0,0,0,43,126
0,85625,48139,2141,7.838967138,1949,3,45,0,0,8,136
0,85626,39689,1077,1385.345997,955,0,0,0,0,122,0
0,85627,68123,1350,56.17129925,1336,0,0,0,0,0,14
4,85629,91646,25770,102.3107611,22858,537,158,467,0,622,1128
0,85630,57186,1757,15.41077169,1740,0,0,0,0,9,8
1,85631,47471,3718,31.1264695,3414,0,0,0,0,167,137
0,85632,55282,788,1.000653121,763,8,8,0,0,0,9
0,85633,44778,41,0.179361473,36,0,2,0,0,0,3
0,85634,40151,6569,2.25827262,301,6,6123,0,14,32,93
30,85635,69237,33947,486.4474919,26248,2319,397,1465,247,933,2338
0,85637,87532,1250,10.50869371,1235,7,3,0,0,5,0
0,85638,47851,1783,6.09144265,1682,0,0,0,0,15,86
0,85640,94401,174,59.76419569,174,0,0,0,0,0,0
2,85641,105808,27078,46.9637533,23432,892,184,596,24,889,1061
0,85643,54967,8913,4.790642571,8193,166,94,35,26,278,121
0,85645,54953,2480,10.99182634,2160,0,0,10,0,304,6
0,85646,88523,1404,10.19028076,1404,0,0,0,0,0,0
2,85648,67656,19681,121.3887175,16612,0,140,76,0,2745,108
3,85650,85653,15515,366.2096736,13377,512,81,550,0,426,569
4,85653,74351,19244,43.18225413,15880,119,404,367,0,1218,1256
0,85654,NA,0,1564.516129,0,0,0,0,0,0,0
5,85658,103725,11482,34.79729126,9881,347,60,435,0,249,510
21,85701,62550,5234,3443.676572,4236,210,274,105,0,255,154
3,85704,83636,33065,1730.390511,27769,577,307,1807,11,1435,1159
21,85705,42292,56314,4231.663356,37974,1949,2824,1882,38,8438,3209
11,85706,46446,55755,4406.496927,34409,1618,5015,647,20,8767,5279
1,85707,NA,678,145.1577322,394,206,0,7,6,40,25
0,85708,65625,3836,2072.32267,2601,208,177,232,75,16,527
12,85710,57567,54489,4506.912824,44362,2840,813,1648,136,2494,2196
19,85711,53908,40403,4824.114139,30180,2467,1175,1505,11,3055,2010
8,85712,51980,32708,4796.065189,25995,2376,576,936,39,1564,1222
31,85713,47820,47272,2115.54037,30997,2376,3335,474,34,8313,1743
8,85714,42621,15084,2280.656435,9024,569,1765,74,0,2538,1114
6,85715,93284,17550,2650.793651,15594,532,16,465,20,389,534
10,85716,60584,30192,4657.357528,23806,1512,539,1036,364,1549,1386
3,85718,145550,26346,718.2562595,22570,349,388,1614,79,370,976
15,85719,48967,48854,5375,37237,2444,896,3407,320,2492,2058
0,85723,NA,0,0,0,0,0,0,0,0,0
0,85724,NA,0,0,0,0,0,0,0,0,0
0,85726,NA,0,0,0,0,0,0,0,0,0
16,85730,66533,38343,826.2828806,27310,2596,434,1331,43,3714,2915
0,85735,61340,10978,59.01484551,8350,322,226,70,0,1442,568
0,85736,59435,4445,14.10991267,3407,80,101,65,0,732,60
4,85737,106363,21743,860.1842629,19404,257,136,647,0,355,944
3,85739,84073,19303,95.69614009,18383,87,116,222,0,341,154
11,85741,70817,34813,3277.838482,27429,1044,742,969,0,2099,2530
3,85742,92624,28442,877.5801455,24506,458,115,780,213,784,1586
10,85743,91175,31148,302.420903,25719,752,329,1401,92,1453,1402
31,85745,74855,38777,549.678416,28506,1135,1397,1511,27,3987,2214
8,85746,61911,45521,564.1196971,24892,1140,3423,281,0,13916,1869
11,85747,98429,26714,390.7539528,21805,1100,221,815,15,1332,1426
4,85748,96842,19234,1528.651116,16309,573,145,824,0,714,669
5,85749,120345,18768,316.7565408,17129,285,164,382,10,197,601
4,85750,126585,24502,1213.63271,21713,267,321,1337,19,282,563
2,85755,116208,17087,448.4386132,15183,391,75,618,0,412,408
4,85756,65835,42749,525.7089849,27501,3584,1873,631,43,6090,3027
7,85757,66974,20350,660.9602366,9922,225,3930,308,0,4656,1309
14,85901,63393,18096,66.117195,16056,110,412,142,0,936,440
0,85911,23874,2209,2.827676671,19,0,2145,34,0,0,11
0,85912,22452,350,4.269609019,207,0,0,0,0,143,0
0,85920,73793,448,4.3595911,425,0,23,0,0,0,0
0,85922,91942,28,0.104967793,28,0,0,0,0,0,0
0,85923,43581,620,9.893418726,614,0,0,0,0,0,6
0,85924,52462,2660,3.427059077,2398,36,0,78,0,24,124
1,85925,63982,4988,166.0332542,4777,0,77,0,0,114,20
2,85926,60564,421,38.65227538,12,0,403,0,0,0,6
0,85927,79747,115,1.377529057,115,0,0,0,0,0,0
0,85928,54098,1295,3.875641837,1151,0,82,0,0,8,54
3,85929,62490,7416,137.8339434,6835,0,102,43,0,143,293
0,85930,47672,1319,5.819904502,17,0,1268,0,9,14,11
0,85931,53188,186,0.6900023,178,4,0,0,0,0,4
0,85932,123095,367,2.780961112,367,0,0,0,0,0,0
0,85933,48805,2697,32.94232649,2541,4,57,13,0,1,81
0,85934,41017,246,9.788373322,246,0,0,0,0,0,0
1,85935,79861,4665,98.08592617,3960,25,550,14,0,25,91
2,85936,54580,4373,4.319487095,3594,137,314,0,0,159,169
3,85937,57743,8201,24.85955879,7252,37,444,0,0,77,391
2,85938,62520,2322,6.409457607,1893,7,176,4,0,27,215
3,85939,61576,4319,78.79515052,3823,38,210,0,0,175,73
0,85940,64657,1430,17.57398612,1316,43,21,0,0,27,23
2,85941,40485,11251,11.9546826,137,15,10787,39,45,43,185
0,85942,NA,56,1.430845451,56,0,0,0,0,0,0
19,86001,85494,45695,46.12304456,37113,646,3112,1671,86,1083,1984
0,86003,17440,26,1.076627814,3,0,23,0,0,0,0
17,86004,84332,36260,48.95528494,28563,269,4292,514,44,1027,1551
0,86011,11790,9772,9383.480826,7685,528,198,275,59,452,575
0,86015,NA,312,70.82413539,306,5,0,0,0,1,0
0,86016,26018,42,0.580551524,0,0,42,0,0,0,0
0,86017,74077,880,4.815745394,805,24,0,0,0,0,51
0,86018,81371,903,7.570694728,836,0,0,13,0,0,54
0,86020,41170,1955,1.680129632,6,0,1940,0,0,6,3
1,86021,73381,6160,228.5703553,6160,0,0,0,0,0,0
0,86022,51791,1855,3.942338395,1381,0,339,4,0,49,82
0,86023,68382,2538,9.683721616,1399,62,878,70,0,78,51
0,86024,86929,737,1.331489829,692,0,9,0,0,0,36
4,86025,58313,5565,7.910040707,2940,233,1438,67,0,451,436
0,86028,NA,0,0.2681577,0,0,0,0,0,0,0
0,86029,NA,77,5.301963383,48,9,10,0,0,10,0
0,86030,48802,1519,5.829642075,21,7,1470,6,2,13,0
0,86031,26851,1751,4.146448263,29,0,1703,4,15,0,0
0,86032,78206,1818,7.521682783,1367,0,221,1,0,2,227
1,86033,41354,8195,6.645036131,276,8,7779,34,57,29,12
0,86034,35577,1902,4.580032591,50,0,1833,12,0,7,0
0,86035,52539,2125,2.479927997,13,0,2044,16,0,0,52
0,86036,70437,400,0.390137956,200,0,190,0,0,10,0
0,86038,NA,57,1.594070884,57,0,0,0,0,0,0
0,86039,52619,1179,4.987794015,3,8,1149,6,0,0,13
4,86040,70305,10662,13.65446489,2919,71,7051,85,26,284,226
0,86042,51388,2142,25.11689669,78,14,1932,104,0,14,0
0,86043,43261,2840,17.2052477,0,0,2829,11,0,0,0
0,86044,32060,3165,3.800955158,9,0,3118,13,0,0,25
3,86045,54817,11670,8.256902084,260,8,11274,31,20,19,58
3,86046,66208,5695,4.168880029,4458,115,349,52,0,411,310
9,86047,52087,15330,8.715847647,3936,499,8122,58,0,1960,755
0,86052,NA,313,0.027744528,261,0,52,0,0,0,0
0,86053,53433,2547,3.174952087,7,0,2535,0,0,5,0
0,86054,44870,1473,4.635263455,18,0,1423,0,0,0,32
15,86301,71471,23087,666.6451196,21162,56,257,382,22,342,866
4,86303,72479,17719,127.8688525,16654,179,32,181,11,397,265
4,86305,94584,18876,13.86338384,18039,68,153,50,84,50,432
0,86313,NA,249,2294.642857,201,3,30,15,0,0,0
20,86314,60727,39703,476.1252284,36103,317,494,509,0,1231,1049
2,86315,73539,7626,118.9646099,6954,0,2,276,0,0,394
0,86320,51077,2024,2.02331807,1610,0,45,0,0,300,69
0,86321,79278,2128,7.540412055,2064,0,13,0,0,33,18
5,86322,55984,12107,29.70714654,9715,76,1044,20,0,853,399
5,86323,65815,16454,111.6584333,15302,58,27,283,0,580,204
4,86324,58622,4271,24.93061537,3817,84,234,43,0,78,15
0,86325,69030,5554,85.91391932,5180,0,0,0,0,161,213
6,86326,58109,25294,431.3218285,22660,314,743,79,38,698,762
1,86327,68454,9762,44.26786607,9317,74,22,21,0,51,277
0,86329,61425,1037,31.87347932,973,0,0,15,0,10,39
0,86331,77293,474,10.96224117,345,0,110,0,0,0,19
0,86332,52775,1808,3.351122739,1757,8,4,0,0,0,39
0,86333,55237,7651,11.62470097,6791,102,113,97,0,92,456
0,86334,56618,4913,21.93629015,4482,0,35,17,0,279,100
1,86335,47885,4624,25.92974259,3830,3,323,0,0,315,153
15,86336,86245,11595,50.13774593,11095,39,14,154,0,205,88
0,86337,57176,1609,1.042695372,1475,0,106,0,0,0,28
0,86338,78587,377,2.673710196,359,7,3,4,0,0,4
0,86343,57443,51,1.725886345,51,0,0,0,0,0,0
0,86351,94655,6552,158.8242652,5703,113,8,70,0,566,92
12,86401,68716,25799,21.86545485,22253,535,952,602,27,596,834
4,86403,67301,18104,1577.045908,16431,170,321,180,0,643,359
2,86404,69548,17280,93.82942835,16144,5,142,311,7,422,249
3,86406,74011,22802,96.76394776,21757,4,221,134,0,383,303
3,86409,52572,28675,79.15258799,27056,235,293,171,0,449,471
0,86411,42602,151,0.537837079,151,0,0,0,0,0,0
0,86413,45663,13173,17.16686453,12040,173,81,76,17,146,640
0,86426,65164,14928,382.5964564,13325,215,87,249,308,363,381
1,86429,65300,7616,85.52663005,7071,195,13,42,26,65,204
0,86431,42891,476,6.972318339,442,0,9,0,5,0,20
0,86432,36846,3444,1.2205897,2492,0,0,0,0,897,55
0,86433,NA,43,0.654797721,18,0,0,25,0,0,0
0,86434,48040,1609,1.906343518,139,2,1459,0,0,0,9
0,86435,NA,0,0.391370246,0,0,0,0,0,0,0
0,86436,43548,945,18.87469499,937,0,0,0,0,0,8
0,86437,43440,119,1.100763292,63,2,36,0,0,0,18
0,86438,57541,752,0.688305961,663,83,6,0,0,0,0
1,86440,54201,7028,60.45750204,5769,45,592,23,25,144,430
0,86441,37764,2354,4.356043913,2354,0,0,0,0,0,0
2,86442,51981,33895,876.7662972,30068,541,301,490,43,1214,1238
0,86443,NA,0,0.162870289,0,0,0,0,0,0,0
0,86444,44455,1254,2.549017669,1224,0,0,7,0,0,23
0,86445,69027,254,1.062586698,242,12,0,0,0,0,0
0,86502,28883,1095,2.081644841,51,0,994,3,0,47,0
0,86503,35712,10818,12.87285502,212,24,10390,0,0,25,167
0,86504,49637,7201,18.07077799,155,51,6675,85,0,26,209
2,86505,35067,8036,7.432613519,97,15,7777,10,4,46,87
0,86506,34990,1266,7.759223255,5,0,1242,0,0,0,19
0,86507,31131,2323,10.54510058,0,0,2323,0,0,0,0
0,86508,31584,668,10.79947726,11,0,651,0,0,0,6
0,86510,38136,4617,7.232223484,66,0,4406,68,22,0,55
0,86511,44209,3680,10.02183969,91,0,3566,2,4,1,16
0,86512,37704,2787,4.233390149,123,19,2627,0,0,0,18
0,86514,39751,3258,3.687388787,33,7,3131,24,3,2,58
0,86515,39629,4251,26.30048348,243,18,3934,0,0,17,39
0,86520,32143,1540,7.198143658,0,0,1526,0,0,0,14
0,86535,31917,1391,4.411023512,0,0,1386,0,0,0,5
0,86538,36476,1825,11.58291594,66,2,1747,0,0,10,0
0,86540,23251,1120,4.492247982,0,0,1111,0,0,0,9
0,86544,41179,1307,5.138958742,9,0,1284,0,0,0,14
0,86545,31131,1469,5.048542501,0,0,1427,26,0,0,16
0,86547,33955,1175,8.985505022,0,0,1170,0,0,0,5
0,86556,36351,2324,8.67266699,217,14,2055,14,0,10,14
10,71601,39502,14258,157.572616,1564,12451,88,0,0,62,93
1,71602,62580,15859,154.9784968,9541,5368,28,183,89,305,345
1,71603,57306,31346,193.7283527,11479,18784,66,441,0,276,300
0,71630,46018,435,11.74423662,178,240,2,0,0,0,15
0,71631,58721,502,5.466877868,414,80,0,0,0,0,8
2,71635,60942,11423,57.1058595,8515,2698,37,33,0,37,103
1,71638,49390,3863,16.34971321,1399,2343,8,31,0,69,13
2,71639,48296,5614,36.22378469,2586,2805,0,51,0,143,29
0,71640,36778,3081,16.46352974,960,2042,7,0,0,0,72
0,71642,61085,889,12.18365735,669,214,0,6,0,0,0
0,71643,43624,917,10.18983038,266,636,15,0,0,0,0
0,71644,44626,5503,57.0503472,2559,2708,46,0,0,146,44
1,71646,63943,6172,17.28978301,4826,1149,8,0,0,164,25
0,71647,64651,2099,8.379378235,1553,508,6,0,0,29,3
0,71651,46304,80,1.783039726,66,14,0,0,0,0,0
0,71652,48585,1018,6.926018884,839,176,1,0,0,0,2
3,71653,62543,4138,16.33823184,2573,1479,0,31,0,0,55
6,71654,45841,4364,66.13618021,2389,1698,9,0,0,105,163
5,71655,64201,15094,42.55619259,10396,4384,3,6,0,142,163
0,71658,40156,732,6.460544532,385,325,0,0,0,16,6
0,71659,8182,79,46.6367713,32,47,0,0,0,0,0
0,71660,67354,764,8.003723435,582,182,0,0,0,0,0
0,71661,29515,368,4.724657462,56,312,0,0,0,0,0
0,71662,NA,199,7.876284699,59,140,0,0,0,0,0
0,71663,57329,586,9.479163969,404,123,0,0,0,56,3
0,71665,58631,5823,21.49651844,5040,682,13,0,0,0,88
0,71666,NA,44,30.83528493,44,0,0,0,0,0,0
0,71667,62200,6617,26.27238492,5607,776,11,0,0,127,96
0,71670,59506,1213,6.86963845,736,441,22,0,0,0,14
1,71671,54986,8485,46.95942467,5429,2527,119,7,0,397,6
0,71674,42866,585,3.032544379,469,116,0,0,0,0,0
0,71675,56795,1940,10.76563496,1258,550,0,54,0,0,78
0,71676,49961,546,6.498997596,159,387,0,0,0,0,0
0,71677,31120,196,23.6482168,18,176,0,0,0,0,2
5,71701,51250,18836,70.97498767,11131,7511,19,6,0,22,147
0,71711,NA,88,45.57179708,73,6,9,0,0,0,0
0,71720,48653,1987,16.72301255,1274,713,0,0,0,0,0
0,71722,54546,70,4.849498328,44,26,0,0,0,0,0
0,71724,50394,453,364.9449619,299,154,0,0,0,0,0
0,71725,40651,393,3.885221458,52,322,15,4,0,0,0
0,71726,42132,1237,7.430843957,604,524,0,9,0,0,100
8,71730,62704,30079,70.48580569,19117,9809,255,205,0,303,390
0,71740,57563,1632,9.403692101,1164,420,0,1,0,3,44
2,71742,44588,5437,32.77771992,2839,2384,26,0,16,68,104
0,71743,53393,3855,19.81771578,2398,1264,21,0,0,127,45
0,71744,58099,2839,8.078520007,2218,604,0,0,0,0,17
0,71745,47760,393,176.5886288,182,205,0,0,0,1,5
0,71747,52640,1174,13.69247476,558,615,0,0,0,0,1
0,71749,59707,2882,12.80312844,1954,905,4,0,6,0,13
0,71751,52659,860,11.96727162,633,224,0,3,0,0,0
0,71752,36720,850,27.6681921,297,519,0,0,0,0,34
6,71753,54613,16660,52.90227774,9300,6673,48,253,0,224,162
0,71758,35018,287,6.47836227,239,21,0,0,0,0,27
0,71759,67984,655,94.71191792,638,0,0,12,0,5,0
0,71762,54838,2305,43.76739058,1660,625,3,0,0,0,17
0,71763,52982,1694,7.391960245,1290,356,0,0,18,10,20
0,71764,51165,1802,10.27591937,759,1024,0,0,0,0,19
0,71765,55389,1858,10.87252519,834,898,85,41,0,0,0
0,71766,49903,719,9.183114035,425,254,0,0,0,0,40
0,71770,60449,3441,23.86802862,2406,1019,0,0,0,16,0
0,71772,NA,22,272,0,0,0,0,0,22,0
2,71801,58271,16894,55.47935221,9644,5128,75,26,73,1636,312
0,71820,NA,26,5.407959677,26,0,0,0,0,0,0
1,71822,57762,8407,35.12507281,6142,1974,41,41,0,11,198
0,71823,35253,36,9.120879121,28,0,5,0,0,0,3
0,71825,55313,528,26.35342186,321,78,0,0,0,129,0
0,71826,44884,1134,10.28935384,710,364,0,0,0,37,23
0,71827,81061,883,14.24958577,644,208,0,13,0,0,18
2,71832,64551,11362,63.72207594,6145,337,369,25,81,4255,150
0,71833,72049,2001,14.32529734,1875,14,0,0,0,49,63
0,71834,49113,889,10.02959774,772,63,0,54,0,0,0
0,71835,53513,1035,16.22259245,905,90,0,0,0,0,40
0,71836,63053,2930,16.87225294,2137,634,68,0,0,12,79
0,71837,51854,5790,32.86222636,5555,25,48,73,0,17,72
0,71838,48669,887,8.983980655,337,548,0,0,0,0,2
0,71839,35540,355,7.217797025,73,282,0,0,0,0,0
0,71841,50633,1031,13.24186343,927,32,1,0,0,43,28
0,71842,69624,2227,29.07406687,1490,282,8,51,0,309,87
0,71845,75540,1961,11.32879612,1076,792,16,0,0,73,4
0,71846,57187,2550,12.27595912,2247,208,11,0,0,56,28
0,71847,49826,605,11.75237929,473,32,2,0,0,25,73
0,71851,56844,1966,26.58930733,1059,810,0,0,12,64,21
1,71852,56490,10069,37.2854206,6327,2095,49,36,0,1352,210
0,71853,43665,233,11.57627656,170,48,0,1,0,14,0
14,71854,61444,36538,130.8502501,24008,10419,457,46,17,779,812
0,71855,44580,537,12.8881931,170,298,0,0,0,0,69
3,71857,44495,4765,21.8608826,3088,1526,29,0,0,0,122
0,71858,42645,2472,8.545300085,1368,1068,0,0,2,0,34
0,71859,51260,510,22.09151538,452,50,0,0,0,0,8
0,71860,50248,2318,24.18969572,1173,1088,0,17,0,0,40
0,71861,43943,1900,16.15106756,1783,71,12,0,0,0,34
0,71862,42284,713,11.89906629,405,308,0,0,0,0,0
0,71865,45405,168,319.0789474,93,54,0,0,0,21,0
0,71866,64588,583,16.38307007,556,0,20,0,0,7,0
11,71901,57928,30181,285.6381845,24113,4284,292,301,0,240,951
1,71909,65794,15872,191.3009153,15337,199,41,60,0,57,178
5,71913,67656,47111,342.7876951,40100,3760,441,183,0,1037,1590
0,71921,62945,3551,18.44016037,3320,13,43,0,0,124,51
0,71922,35111,153,62.01923077,124,25,0,0,0,0,4
5,71923,55562,15099,39.54199361,10754,3530,41,152,3,409,210
0,71929,55408,4341,47.00398072,4248,11,0,9,0,0,73
0,71933,49464,1447,16.98281751,1407,0,15,0,0,0,25
0,71935,45724,499,6.899378373,491,8,0,0,0,0,0
0,71937,54199,2041,29.02869915,1867,0,52,0,0,10,112
0,71940,44791,1734,15.30607518,1605,59,21,2,0,17,30
0,71941,68079,2070,28.01105489,1972,3,15,0,0,31,49
0,71943,50593,4239,42.9682974,3663,53,0,16,0,485,22
0,71944,45086,787,18.36453483,627,6,41,0,0,105,8
0,71945,38838,1200,20.05498723,1157,0,34,0,0,0,9
0,71949,44844,1676,9.565397212,1676,0,0,0,0,0,0
0,71950,50579,771,23.69154956,722,0,10,37,0,0,2
0,71952,39250,21,5.513517624,21,0,0,0,0,0,0
3,71953,57828,13996,23.28026105,13128,53,141,57,0,104,513
0,71956,42114,1525,81.1661707,1435,55,0,0,0,0,35
0,71957,52249,2826,22.38816636,2728,22,26,36,0,0,14
0,71958,49114,2365,23.46196374,1991,298,0,6,0,20,50
0,71959,62933,771,12.31523071,771,0,0,0,0,0,0
0,71960,37255,1679,9.12227008,1530,0,7,0,0,0,142
0,71961,48126,974,11.48924959,936,0,18,0,0,0,20
0,71962,50482,666,4.783590834,351,315,0,0,0,0,0
0,71964,71317,4098,114.0251518,3765,0,8,44,0,245,36
0,71965,38098,321,14.43894389,321,0,0,0,0,0,0
0,71968,74071,4256,47.99649973,4032,91,108,0,0,13,12
0,71969,44945,352,11.34683285,275,0,47,0,0,0,30
0,71970,79401,809,10.26252365,790,0,19,0,0,0,0
0,71971,51489,608,7.745149845,608,0,0,0,0,0,0
0,71972,55637,355,10.55940949,335,0,0,0,0,13,7
0,71973,53287,1760,18.05434052,1372,4,29,0,0,316,39
0,71998,NA,586,8916.666667,389,153,0,4,0,33,7
0,71999,NA,657,11387.09677,407,191,0,0,4,19,36
0,72001,50016,777,22.27907892,763,0,0,0,0,0,14
0,72002,82154,18314,246.1297344,15007,2471,32,88,0,242,474
0,72003,49447,821,7.481771956,727,94,0,0,0,0,0
0,72004,39954,816,8.367746836,145,652,0,0,0,7,12
0,72005,29514,100,12.14138843,81,0,0,0,0,0,19
0,72006,54504,2442,13.56025797,1412,1006,0,0,0,0,24
0,72007,74925,8563,153.024911,7874,154,193,28,66,7,241
3,72010,52018,6037,48.42117663,5601,130,40,0,0,28,238
0,72011,79534,4391,72.30968566,4302,53,15,0,0,0,21
4,72012,69546,13444,131.3059387,12801,444,0,116,0,0,83
0,72013,64143,2229,22.4609974,2030,54,20,0,0,0,125
0,72014,37005,58,101.010101,51,0,0,0,0,0,7
8,72015,67735,29671,333.5165372,26106,2405,57,85,60,205,753
0,72016,68623,3230,40.22549913,2985,118,0,0,0,127,0
0,72017,47634,509,14.38364306,361,146,0,0,0,0,2
2,72019,89515,26976,141.8192421,24108,1190,322,745,0,208,403
0,72020,60351,3605,24.85014696,3337,8,23,0,6,0,231
3,72021,47109,3665,24.06744198,1857,1709,0,30,0,0,69
3,72022,80100,16810,937.5821288,13780,2365,22,264,74,18,287
3,72023,75128,36305,371.7745959,33291,673,168,375,0,681,1117
0,72024,63862,3762,18.71080243,3407,281,25,26,0,0,23
0,72025,68207,762,14.43471148,707,9,0,0,0,11,35
0,72026,60649,288,13.26000405,159,129,0,0,0,0,0
0,72027,65652,1364,20.84160673,1358,4,0,0,0,0,2
0,72029,43696,1610,37.78954858,987,558,21,0,0,11,33
0,72030,42062,552,13.42831565,390,94,0,0,0,0,68
0,72031,49377,7837,25.84936512,7450,40,50,28,0,171,98
5,72032,61321,34482,275.4644234,26832,5615,51,270,0,886,828
3,72034,76147,49891,796.4489876,38118,7550,151,1281,0,1352,1439
0,72035,NA,1721,8733.870968,1175,377,19,39,0,58,53
0,72036,33174,608,6.969503092,168,422,0,0,0,0,18
0,72037,65762,30,185.4304636,6,24,0,0,0,0,0
0,72038,96336,49,3.630654499,49,0,0,0,0,0,0
0,72039,85790,2421,36.44479409,2127,213,26,0,13,12,30
0,72040,63260,2719,16.66172685,2498,180,0,0,0,11,30
0,72041,44708,1308,15.06316812,1099,209,0,0,0,0,0
2,72042,59386,5058,21.78675909,4152,780,0,0,0,40,86
0,72044,58051,837,14.26813073,833,0,0,0,0,0,4
0,72045,59871,1354,25.79445117,1354,0,0,0,0,0,0
2,72046,59280,4283,19.1136729,2916,1231,33,7,0,6,90
0,72047,52297,744,30.80787206,737,0,0,0,0,0,7
0,72048,86624,97,1.36862957,73,24,0,0,0,0,0
0,72051,46032,683,14.85479557,652,0,0,0,0,0,31
0,72055,59733,917,9.243935369,724,178,0,0,0,0,15
0,72057,69212,1064,11.94636417,1031,0,0,7,0,0,26
1,72058,71373,17242,101.9171519,16358,171,117,44,0,68,484
0,72059,NA,39,2.729418708,16,23,0,0,0,0,0
0,72060,57201,601,10.37706451,588,0,0,0,0,0,13
0,72061,79900,127,72.88629738,127,0,0,0,0,0,0
0,72063,59521,2008,21.10980107,1871,12,10,0,0,0,115
0,72064,55982,2341,16.23737976,1926,341,14,17,0,43,0
0,72065,75553,5216,90.99646989,4550,467,4,150,9,0,36
0,72067,55209,2431,56.02137279,2345,2,27,0,0,0,57
1,72068,42509,421,443.0512017,362,30,0,0,0,7,22
0,72069,62877,1290,5.861448878,587,694,0,0,0,0,9
0,72070,57116,1688,26.90350057,1655,13,1,0,0,0,19
0,72072,67071,504,14.88168513,489,9,1,0,0,0,5
0,72073,67933,1058,8.345117117,847,193,0,0,0,0,18
0,72074,47589,151,4.831476928,151,0,0,0,0,0,0
10,72076,59348,38831,512.8277836,23513,12183,83,543,6,1183,1320
0,72079,65747,750,33.57396096,712,0,0,27,0,0,11
0,72080,55525,315,6.97730794,315,0,0,0,0,0,0
3,72081,56646,7727,83.6569614,7509,85,0,0,0,67,66
1,72082,32914,1896,363.4485349,1433,360,0,0,0,4,99
0,72083,62831,161,41.57894737,138,23,0,0,0,0,0
0,72084,65032,1333,6.21133708,1125,145,3,0,0,6,54
0,72085,85824,240,637.6811594,226,0,0,0,0,0,14
5,72086,73168,11049,73.77731315,9297,1348,55,54,61,152,82
0,72087,81263,1841,26.74787099,1813,11,0,0,0,0,17
0,72088,55651,2375,162.1016949,2333,7,0,0,0,0,35
0,72099,NA,678,3311.827957,438,170,0,51,17,2,0
0,72101,56258,3001,13.02411659,2618,319,0,59,0,0,5
0,72102,58267,3141,56.78875689,2923,39,88,3,0,0,88
5,72103,63240,12539,425.2178437,9085,2442,31,206,11,325,439
4,72104,56489,23835,73.51283972,19359,3535,137,124,8,283,389
1,72106,73051,5510,117.147153,4914,113,70,3,141,82,187
0,72107,52280,96,29.00162546,9,87,0,0,0,0,0
0,72108,120147,64,7.458874017,64,0,0,0,0,0,0
4,72110,59461,11296,92.66826245,9342,1438,23,19,0,28,446
0,72111,77852,1302,23.25263769,1289,3,0,0,0,0,10
