numParks,code,meanHouseholdIncome,totalPopulation,populationDensity,race.white,race.black,race.americanIndianOrAlaskanNative,race.asian,race.nativeHawaiianOrPacificIslander,race.otherRace,race.twoOrMore
0,35187,NA,6,1600,6,0,0,0,0,0,0
1,35188,66788,3014,118.2594303,2901,82,0,0,0,0,31
6,35203,55876,3125,1880.19802,1219,1827,0,0,0,16,63
6,35204,31704,9262,2125.642607,375,8432,0,9,0,409,37
13,35205,65490,20857,5429.123001,12758,6256,79,785,0,609,370
6,35206,50532,17713,1679.737923,4760,12059,0,103,0,506,285
6,35207,36305,8696,866.5127909,350,8236,0,0,0,89,21
5,35208,45035,13719,4203.452179,569,12750,12,28,0,224,136
7,35209,99385,28252,3161.476726,19243,6973,176,880,0,547,433
9,35210,75738,14022,551.5060479,8123,4720,10,91,0,883,195
14,35211,43306,24745,1485.533096,3100,20621,106,208,0,101,609
6,35212,46155,11295,1966.763252,2610,8127,33,165,12,257,91
9,35213,183414,14062,2076.051016,13731,207,0,51,0,0,73
6,35214,59486,17789,735.5458778,3363,13866,114,175,0,105,166
6,35215,56194,48680,1637.520926,10592,36362,55,63,13,618,977
8,35216,98948,36856,2598.344276,23931,8620,61,1078,0,2130,1036
5,35217,49516,13256,759.5153795,4060,8009,91,56,79,859,102
5,35218,44497,7235,2821.565618,186,6946,0,0,0,23,80
5,35221,50345,4484,1324.020816,73,4285,0,0,0,126,0
3,35222,89304,8989,2111.974283,5984,2717,9,57,0,41,181
6,35223,212754,11111,1342.940533,10431,230,5,309,0,0,136
6,35224,46729,5328,386.7732927,1742,3504,22,25,0,0,35
4,35226,127955,35331,1758.451137,27981,4704,23,1656,17,108,842
4,35228,47605,10059,2410.131853,1002,8575,0,5,0,171,306
0,35229,NA,1255,5465.116279,916,239,0,3,0,46,51
0,35233,61185,1730,778.5714286,1066,311,18,255,0,0,80
6,35234,37526,5063,1771.75744,622,4389,0,10,0,38,4
3,35235,64744,21340,1389.233512,8221,11944,147,144,27,454,403
5,35242,137874,56340,937.4290472,47456,4738,171,2483,28,534,930
0,35243,131786,17059,1427.818062,15927,576,0,387,17,77,75
3,35244,115741,31941,1493.383743,23253,5750,32,2179,0,183,544
0,35254,37206,1598,3364.508393,912,619,0,18,0,8,41
14,35401,40055,37705,837.966757,17175,18823,224,677,21,229,556
5,35404,58229,22345,1264.564118,12081,8715,11,701,0,574,263
1,35405,69522,45391,791.9128625,19841,24163,18,805,57,154,353
2,35406,136234,17914,163.5021346,15655,1310,12,894,0,0,43
0,35441,53246,972,15.88300518,548,424,0,0,0,0,0
0,35442,46561,6730,21.10347579,2004,4420,28,10,0,209,59
0,35443,26810,1777,10.60303788,54,1569,0,0,0,0,154
0,35444,61678,3972,24.84751592,3719,220,11,0,0,0,22
0,35446,55360,2147,36.69574073,1808,209,5,0,0,49,76
0,35447,55164,3032,23.94662533,1419,1502,0,2,0,57,52
0,35452,80902,3416,74.66276676,2955,183,0,0,0,96,182
1,35453,65006,10721,119.5757302,8489,1775,45,28,0,203,181
0,35456,59523,4051,44.37806951,3533,455,12,0,0,21,30
0,35457,NA,0,12.27728702,0,0,0,0,0,0,0
0,35458,82511,445,23.23761834,445,0,0,0,0,0,0
0,35459,48226,1156,6.382386954,384,759,0,0,0,8,5
0,35460,36899,956,8.578128857,47,909,0,0,0,0,0
0,35461,64677,2093,15.73876235,1637,456,0,0,0,0,0
0,35462,34671,4447,16.17294603,964,3440,0,0,0,8,35
0,35463,68180,2074,28.51878424,1302,772,0,0,0,0,0
0,35464,21495,854,19.83862161,212,633,0,0,0,0,9
0,35466,67364,5441,23.27211713,4630,663,0,0,12,0,136
0,35469,31933,311,11.88811189,50,228,0,0,0,0,33
0,35470,39812,4836,20.58386192,1576,2980,0,274,0,0,6
1,35473,74310,16294,592.6853508,12526,3256,13,59,15,334,91
3,35474,80583,6617,30.77689243,3737,2721,30,33,0,0,96
0,35475,88208,15952,67.47724323,14913,749,0,89,0,16,185
3,35476,49432,7208,1480.277575,3712,3432,0,18,0,0,46
0,35477,43085,137,9.842230514,0,137,0,0,0,0,0
0,35480,82633,1007,19.67765568,744,261,0,0,0,0,2
0,35481,47035,3174,30.94235847,1995,1112,0,0,0,12,55
0,35490,64886,3911,57.42061306,3545,285,0,0,0,15,66
7,35501,50372,10208,208.7806441,8033,1623,27,8,0,250,267
1,35503,66430,8798,113.8580917,8335,195,45,8,0,18,197
0,35504,71084,12832,140.2242185,11988,307,63,220,0,100,154
0,35540,60208,2786,32.75198004,2758,0,4,0,0,0,24
0,35541,66368,3399,53.62893607,3326,1,33,7,0,0,32
0,35542,55770,920,18.45525369,885,25,0,0,0,0,10
0,35543,39462,1033,30.41164041,972,0,8,0,0,6,47
0,35544,82650,513,9.377177093,460,39,0,4,0,4,6
0,35545,30128,99,78.00312012,99,0,0,0,0,0,0
0,35546,61802,3996,17.64072788,3814,55,0,2,0,48,77
0,35548,46244,1600,23.94786191,1577,17,0,0,0,0,6
0,35549,49173,3712,37.50712817,3528,125,0,16,0,0,43
0,35550,53001,5504,85.17330983,5038,303,0,0,0,0,163
0,35552,43728,997,17.50796579,894,94,3,0,0,0,6
0,35553,42279,4111,32.85570868,3903,35,36,0,0,16,121
0,35554,48898,1034,22.97514577,1002,27,0,0,0,0,5
3,35555,56932,9537,32.210487,7433,1777,0,55,7,0,265
0,35559,NA,12,86.8902439,12,0,0,0,0,0,0
0,35563,47760,4646,41.80714767,4013,324,17,7,0,168,117
0,35564,51077,2134,35.10258698,2091,9,11,4,0,0,19
3,35565,49672,12645,48.53670037,12137,138,41,7,12,187,123
2,35570,49735,11159,46.63101873,10201,527,62,37,0,83,249
0,35571,64110,776,14.31770917,750,0,13,4,0,0,9
0,35572,54143,1267,15.16878797,1130,0,8,26,0,0,103
0,35574,79144,1694,14.90441198,1586,105,0,0,0,0,3
0,35575,44219,1082,27.35456133,1053,0,0,0,0,0,29
0,35576,57809,2869,18.48659334,2468,355,0,13,0,0,33
0,35577,42731,48,10.02109705,48,0,0,0,0,0,0
0,35578,52483,6111,48.88289224,6015,8,0,57,0,0,31
0,35579,60315,3614,22.19312834,3435,119,0,4,0,0,56
0,35580,57564,3564,48.33979394,3257,266,0,0,0,20,21
0,35581,58581,6073,47.38940013,5853,16,46,0,0,135,23
0,35582,50935,4561,46.0373878,4305,0,6,3,0,0,247
0,35584,39018,365,770.519263,192,173,0,0,0,0,0
0,35585,69752,1727,35.77014278,1697,0,0,0,0,30,0
0,35586,43211,3947,24.49250263,3539,359,0,0,0,0,49
0,35587,42521,582,19.3901101,582,0,0,0,0,0,0
0,35592,49978,4839,37.39666605,4146,556,0,0,0,117,20
0,35593,51986,1537,16.40639603,1522,0,0,5,0,3,7
0,35594,56686,7285,53.94929016,6841,279,2,22,0,56,85
27,35601,57868,32381,1225.583713,20360,8027,26,88,0,3238,642
8,35603,78291,31653,434.0936545,24359,4964,152,150,25,902,1101
0,35610,60875,1823,46.5770424,1812,0,0,9,0,0,2
7,35611,60090,27058,221.4320165,19835,5275,221,536,54,679,458
0,35613,94982,26379,267.0982671,22419,2399,275,65,24,508,689
0,35614,54444,7050,117.2437651,6604,156,76,15,0,170,29
0,35615,NA,60,97.0042796,0,60,0,0,0,0,0
0,35616,53217,3772,19.16495227,3100,502,47,0,0,19,104
0,35618,38011,1796,40.65570919,634,1126,6,0,0,0,30
0,35619,67673,4860,39.4584169,4167,337,137,57,0,0,162
0,35620,74968,9694,81.46392548,9177,303,7,44,0,103,60
0,35621,67834,2647,62.20554877,2569,0,19,56,0,0,3
1,35622,58060,7409,76.38781186,7069,43,183,33,0,0,81
9,35630,51748,33324,1299.753027,25418,6876,124,292,49,111,454
3,35633,72724,20625,99.9038144,18847,1161,0,157,0,112,348
0,35634,84213,9997,157.4646106,8774,940,115,66,13,2,87
8,35640,72289,25654,220.9063103,23221,1379,24,413,59,185,373
0,35643,59814,3802,36.45445981,2659,896,82,0,0,0,165
2,35645,82368,13654,162.9729228,13169,232,54,45,0,0,154
0,35646,52034,4522,49.48645128,3070,1338,57,0,0,13,44
0,35647,74272,1177,43.65701691,1014,123,0,1,0,0,39
0,35648,61257,3448,62.55916014,3268,12,25,0,0,0,143
0,35649,266263,84,30.67207939,72,8,0,2,0,2,0
3,35650,57897,13668,66.02770413,11638,650,715,27,27,92,519
0,35651,47677,1364,24.42566184,1110,80,23,6,0,0,145
0,35652,70590,8704,97.63250125,8202,367,42,15,0,0,78
5,35653,55672,10615,77.76700587,7445,916,342,105,16,1691,100
2,35654,56472,7771,61.10559976,6066,453,9,2,0,1200,41
5,35660,53266,8986,1400.991633,6424,2234,30,10,35,38,215
3,35661,73660,17027,297.1779097,14229,1878,51,158,0,422,289
0,35670,66751,6594,75.33392873,6176,223,38,0,0,0,157
0,35671,50685,1958,40.00683553,1074,662,0,0,0,186,36
0,35672,61906,5714,48.75557909,4207,604,403,0,0,6,494
1,35673,66657,7460,187.1234252,6458,195,569,28,7,90,113
3,35674,58023,19144,97.32187069,15177,2920,126,91,0,374,456
0,35677,48744,1593,17.53553205,1558,8,3,9,0,0,15
0,35739,67655,5076,189.7492625,4442,388,36,34,0,15,161
2,35740,46766,3056,97.52135555,2866,126,57,0,0,0,7
0,35741,117411,2801,124.6281975,2556,224,0,21,0,0,0
0,35744,44192,1956,77.18644882,1718,28,0,19,0,59,132
0,35745,59095,164,4.294661497,164,0,0,0,0,0,0
0,35746,41486,461,14.74489269,387,0,0,13,0,0,61
0,35747,80488,5302,79.18148272,5030,70,90,14,0,1,97
2,35748,100236,7300,77.51018896,6480,324,60,197,0,7,232
4,35749,99969,22804,507.8491386,14960,6236,80,643,0,189,696
2,35750,69369,13391,201.1898579,11485,1063,190,548,0,0,105
0,35751,112873,238,9.231841143,222,0,0,0,0,0,16
0,35752,48126,2682,43.80858623,2443,112,57,0,0,20,50
0,35754,61852,5300,123.3210672,4721,95,43,0,0,115,326
0,35755,62644,450,34.20300006,423,11,0,0,0,0,16
3,35756,114150,13855,117.7438523,8132,4271,104,795,0,186,367
2,35757,110367,16909,1068.575233,11265,4536,93,114,23,256,622
37,35758,115325,46724,1557.154544,35033,6801,228,2703,0,354,1605
2,35759,98134,8113,394.1426198,5593,2014,233,134,0,0,139
2,35760,68757,4876,95.70688938,4626,0,62,5,13,20,150
3,35761,82681,12547,99.78721214,10111,1362,155,69,90,33,727
3,35763,134924,19855,337.9853071,18076,699,135,518,44,50,333
0,35764,42098,540,19.6503265,510,0,5,1,0,0,24
0,35765,59877,3633,57.0449764,3449,0,51,33,4,34,62
0,35766,37119,155,4.18795544,155,0,0,0,0,0,0
5,35768,56819,11473,68.41610889,10355,588,97,142,41,85,165
3,35769,64700,9745,152.2655427,9005,411,90,0,0,43,196
0,35771,57541,3959,59.64165917,3550,46,35,0,0,28,300
0,35772,48450,4762,28.5131673,4043,510,64,0,0,27,118
1,35773,72255,12323,179.074502,9192,2514,105,60,0,54,398
0,35774,60796,198,11.66407465,190,8,0,0,0,0,0
0,35775,40560,1095,39.90713434,934,104,0,0,0,0,57
